scope,model_1,model_2,b,c,p_raw,p_adj_bh,significant
overall,bert__HR100-AIR0-HF100-AIF0__15,bert__HR67-AIR33-HF0-AIF100__3,75,48,0.019061,0.036623,True
HR,bert__HR100-AIR0-HF100-AIF0__15,bert__HR67-AIR33-HF0-AIF100__3,0,5,0.0625,0.104728,False
AI-R,bert__HR100-AIR0-HF100-AIF0__15,bert__HR67-AIR33-HF0-AIF100__3,2,13,0.007385,0.015386,True
HF,bert__HR100-AIR0-HF100-AIF0__15,bert__HR67-AIR33-HF0-AIF100__3,73,0,0.0,0.0,True
AI-F,bert__HR100-AIR0-HF100-AIF0__15,bert__HR67-AIR33-HF0-AIF100__3,0,30,0.0,1e-06,True
overall,bert__HR100-AIR0-HF100-AIF0__15,bert__HR67-AIR33-HF100-AIF0__10,33,12,0.002869,0.006576,True
HR,bert__HR100-AIR0-HF100-AIF0__15,bert__HR67-AIR33-HF100-AIF0__10,13,0,0.000244,0.00066,True
AI-R,bert__HR100-AIR0-HF100-AIF0__15,bert__HR67-AIR33-HF100-AIF0__10,7,5,0.774414,0.93575,False
HF,bert__HR100-AIR0-HF100-AIF0__15,bert__HR67-AIR33-HF100-AIF0__10,0,6,0.03125,0.056173,False
AI-F,bert__HR100-AIR0-HF100-AIF0__15,bert__HR67-AIR33-HF100-AIF0__10,13,1,0.001831,0.004353,True
overall,bert__HR100-AIR0-HF100-AIF0__15,bert__HR67-AIR33-HF33-AIF67__1,21,42,0.011743,0.023433,True
HR,bert__HR100-AIR0-HF100-AIF0__15,bert__HR67-AIR33-HF33-AIF67__1,1,2,1.0,1.0,False
AI-R,bert__HR100-AIR0-HF100-AIF0__15,bert__HR67-AIR33-HF33-AIF67__1,2,9,0.06543,0.109385,False
HF,bert__HR100-AIR0-HF100-AIF0__15,bert__HR67-AIR33-HF33-AIF67__1,18,1,7.6e-05,0.000221,True
AI-F,bert__HR100-AIR0-HF100-AIF0__15,bert__HR67-AIR33-HF33-AIF67__1,0,30,0.0,1e-06,True
overall,bert__HR100-AIR0-HF100-AIF0__15,bert__HR67-AIR33-HF50-AIF50__1,11,44,1.6e-05,5.1e-05,True
HR,bert__HR100-AIR0-HF100-AIF0__15,bert__HR67-AIR33-HF50-AIF50__1,1,4,0.375,0.516873,False
AI-R,bert__HR100-AIR0-HF100-AIF0__15,bert__HR67-AIR33-HF50-AIF50__1,1,8,0.039062,0.068297,False
HF,bert__HR100-AIR0-HF100-AIF0__15,bert__HR67-AIR33-HF50-AIF50__1,9,2,0.06543,0.109385,False
AI-F,bert__HR100-AIR0-HF100-AIF0__15,bert__HR67-AIR33-HF50-AIF50__1,0,30,0.0,1e-06,True
overall,bert__HR100-AIR0-HF100-AIF0__15,bert__HR67-AIR33-HF67-AIF33__2,5,41,0.0,1e-06,True
